"","X","Covered_Recipient_Type","Teaching_Hospital_CCN","Teaching_Hospital_ID","Teaching_Hospital_Name","Recipient_Primary_Business_Street_Address_Line1","Recipient_Primary_Business_Street_Address_Line2","Recipient_City","Recipient_State","Recipient_Zip_Code","Submitting_Applicable_Manufacturer_or_Applicable_GPO_Name","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State","Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Country","Total_Amount_of_Payment_USDollars","Date_of_Payment","Number_of_Payments_Included_in_Total_Amount","Form_of_Payment_or_Transfer_of_Value","Nature_of_Payment_or_Transfer_of_Value","City_of_Travel","State_of_Travel","Country_of_Travel","Physician_Ownership_Indicator","Third_Party_Payment_Recipient_Indicator","Name_of_Third_Party_Entity_Receiving_Payment_or_Transfer_of_Value","Charity_Indicator","Third_Party_Equals_Covered_Recipient_Indicator","Contextual_Information","Delay_in_Publication_Indicator","Record_ID","Product_Indicator","Name_of_Associated_Covered_Drug_or_Biological1","Name_of_Associated_Covered_Drug_or_Biological2","Name_of_Associated_Covered_Drug_or_Biological3","Name_of_Associated_Covered_Drug_or_Biological4","Name_of_Associated_Covered_Drug_or_Biological5","NDC_of_Associated_Covered_Drug_or_Biological1","NDC_of_Associated_Covered_Drug_or_Biological2","NDC_of_Associated_Covered_Drug_or_Biological3","NDC_of_Associated_Covered_Drug_or_Biological4","NDC_of_Associated_Covered_Drug_or_Biological5","Name_of_Associated_Covered_Device_or_Medical_Supply1","Name_of_Associated_Covered_Device_or_Medical_Supply2","Name_of_Associated_Covered_Device_or_Medical_Supply3","Name_of_Associated_Covered_Device_or_Medical_Supply4","Name_of_Associated_Covered_Device_or_Medical_Supply5","address","lon","lat"
"11",11,"Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","","Seattle","WA","98195","BTG International, Inc.",100000011032,"EKOS Corporation","WA","United States",13386.98,"08/14/2014",1,"In-kind items and services","Education","","","",NA,"No Third Party Payment","","","","","No",220839138,"Covered","","","","","","","","",NA,NA,"EKOSONIC","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"12",12,"Covered Recipient Teaching Hospital",500050,2229,"SOUTHWEST WASHINGTON MEDICAL CENTER","200 NE Mother Joseph Pl Ste 400","","Vancouver","WA","98664","KARLSTORZ Endoscopy-America",100000005515,"KARLSTORZ Endoscopy-America","CA","United States",97.02,"01/31/2014",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","","","","No",218024644,"Covered","","","","","","","","",NA,NA,"LAPAROSCOPY","","","","","200 NE Mother Joseph Pl Ste 400, Vancouver, WA 98664",-122.5800895,45.6241511
"13",13,"Covered Recipient Teaching Hospital",500025,2211,"SWEDISH MEDICAL CENTER CHERRY HILL","500 17th Ave","","Seattle","WA","98124","Actelion Pharmaceuticals US, Inc.",100000010813,"Actelion Pharmaceuticals US, Inc.","CA","United States",500,"05/23/2014",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","","","","No",195021288,"None","","","","","","","","",NA,NA,"","","","","","500 17th Ave, Seattle, WA 98124",-122.3101639,47.6072783
"14",14,"Covered Recipient Teaching Hospital",500027,2212,"SWEDISH MEDICAL CENTER","747 Broadway","","Seattle","WA","98122","Intuitive Surgical, Inc.",100000005384,"Intuitive Surgical, Inc.","CA","United States",130,"07/17/2014",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","","","","No",216018584,"Covered","","","","","","","","",NA,NA,"Da Vinci Surgical System","","","","","747 Broadway, Seattle, WA 98122",-122.3220878,47.6088589
"15",15,"Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","325 9TH AVE   359750","Seattle","WA","98195","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",138.05,"02/26/2014",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",188438316,"Covered","","","","","","","","",NA,NA,"Controls","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"16",16,"Covered Recipient Teaching Hospital",500001,2217,"UW MEDICINE/NORTHWEST HOSPITAL","1550 North 115th Street","","Seattle","WA","98133","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",123.69,"07/09/2014",1,"In-kind items and services","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",188439520,"Covered","","","","","","","","",NA,NA,"Controls","","","","","1550 North 115th Street, Seattle, WA 98133",-122.3372047,47.7146036
"17",17,"Covered Recipient Teaching Hospital",500027,2212,"SWEDISH MEDICAL CENTER","747 Broadway","","Seattle","WA","98122","NeuroPace, Inc.",100000010697,"NeuroPace, Inc.","CA","United States",500,"12/31/2014",1,"In-kind items and services","Education","","","",NA,"No Third Party Payment","","No","","","No",188365302,"Covered","","","","","","","","",NA,NA,"RNS System","","","","","747 Broadway, Seattle, WA 98122",-122.3220878,47.6088589
"18",18,"Covered Recipient Teaching Hospital",500141,2218,"ST FRANCIS HOSPITAL","34515 9th Ave S","","Federal Way","WA","98003","ACell, Inc.",100000046254,"ACell, Inc.","MD","United States",2700,"08/13/2014",1,"Cash or cash equivalent","Education","","","",NA,"No Third Party Payment","","No","","","No",220166120,"None","","","","","","","","",NA,NA,"","","","","","34515 9th Ave S, Federal Way, WA 98003",-122.3273579,47.2925539
"19",19,"Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","2","","SEATTLE","WA","98105","DePuy Synthes Sales Inc.",100000005706,"DePuy Orthopaedics Inc.","IN","United States",2655.77,"08/01/2014",1,"Cash or cash equivalent","Grant","","","",NA,"No Third Party Payment","","No","","Educational","No",136725020,"None","","","","","","","","",NA,NA,"OTHER NA","","","","","2, SEATTLE, WA 98105",-122.3272747,47.6596048
"20",20,"Covered Recipient Teaching Hospital",500005,2214,"VIRGINIA MASON MEDICAL CENTER","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",800,"07/23/2014",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",188436426,"Covered","","","","","","","","",NA,NA,"Controls","","","","","925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"21",21,"Covered Recipient Teaching Hospital",500027,2212,"SWEDISH MEDICAL CENTER","747 BROADWAY","","SEATTLE","WA","98122","Teva Pharmaceuticals USA, Inc.",100000000141,"Teva Pharmaceuticals USA, Inc.","PA","United States",1500,"09/12/2014",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","","","","No",214253480,"None","","","","","","","","",NA,NA,"","","","","","747 BROADWAY, SEATTLE, WA 98122",-122.3220878,47.6088589
"22",22,"Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","2","","SEATTLE","WA","98105","Ipsen Bioscience Inc",100000005526,"Ipsen Bioscience Inc","MA","United States",20000,"12/17/2014",1,"Cash or cash equivalent","Royalty or License","","","",NA,"No Third Party Payment","","No","","","No",187333882,"None","","","","","","","","",NA,NA,"","","","","","2, SEATTLE, WA 98105",-122.3272747,47.6596048
"23",23,"Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","SEATTLE CANCER CARE ALLIANCE","MAILSTOP G 3 200  ATTN  SONIA BILL","SEATTLE","WA","98109","Gilead Sciences Inc",100000000108,"Gilead Sciences Inc","CA","United States",75000,"03/18/2014",1,"Cash or cash equivalent","Grant","","","",NA,"No Third Party Payment","","","","718546-1812661-921824-8491454-921824-8491454-Gilead SciencesGrant Award","No",155034124,"None","","","","","","","","",NA,NA,"","","","","","SEATTLE CANCER CARE ALLIANCE, SEATTLE, WA 98109",-122.3456919,47.6288591
"24",24,"Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","","Seattle","WA","98195","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",156.87,"04/16/2014",1,"Cash or cash equivalent","Royalty or License","","","",NA,"No Third Party Payment","","","","","No",188432428,"Covered","","","","","","","","",NA,NA,"Antibody","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"25",25,"Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","","Seattle","WA","98195","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",83.5,"04/18/2014",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","","","","No",188444972,"Covered","","","","","","","","",NA,NA,"1D Reagents & Devices","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"26",26,"Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","2","","SEATTLE","WA","98195","Stryker Corporation",100000010503,"Stryker Corporation","MI","United States",1452.95,"05/29/2014",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","","","Loaner product exceeded 90 days.","No",179622734,"Covered","","","","","","","","",NA,NA,"SURGICAL","","","","","2, SEATTLE, WA 98195",-121.3605331,47.7116801
"27",27,"Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","","Seattle","WA","98195","Bristol-Myers Squibb Company",100000005499,"E.R. Squibb & Sons, L.L.C.","NJ","United States",1500,"03/18/2014",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","","","","No",187809270,"Covered","ORENCIA","","","","","0003218710","","",NA,NA,"","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"28",28,"Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE PACIFIC ST","","SEATTLE","WA","98195","Novartis Pharmaceuticals Corporation",100000000228,"Novartis Pharmaceuticals Corporation","NJ","United States",3000,"09/23/2014",1,"Cash or cash equivalent","Grant","","","",NA,"No Third Party Payment","","No","","","No",152703998,"None","NON BRAND","","","","","","","",NA,NA,"","","","","","1959 NE PACIFIC ST, SEATTLE, WA 98195",-122.3091341,47.6506935
"29",29,"Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","","Seattle","WA","98195","EMD Millipore Corporation",100000005624,"EMD Millipore Corporation","MA","United States",51.82,"02/03/2014",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","No","","","No",119189107,"Non-covered","","","","","","","","",NA,NA,"","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"30",30,"Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","","Seattle","WA","98195","EMD Millipore Corporation",100000005624,"EMD Millipore Corporation","MA","United States",199,"05/27/2014",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","No","","","No",119188156,"Non-covered","","","","","","","","",NA,NA,"","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"31",31,"Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","","Seattle","WA","98195","Mallinckrodt LLC",100000005571,"Cadence Pharmaceuticals, Inc.","CA","United States",600,"01/09/2014",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","","","","No",210990762,"Covered","OFIRMEV","","","","","4382510201","","",NA,NA,"","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"32",32,"Covered Recipient Teaching Hospital",500027,2212,"SWEDISH MEDICAL CENTER","747 BROADWAY","","SEATTLE","WA","98122","Teva Pharmaceuticals USA, Inc.",100000000141,"Teva Pharmaceuticals USA, Inc.","PA","United States",1500,"09/12/2014",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","","","","No",214253608,"None","","","","","","","","",NA,NA,"","","","","","747 BROADWAY, SEATTLE, WA 98122",-122.3220878,47.6088589
"33",33,"Covered Recipient Teaching Hospital",500001,2217,"UW MEDICINE/NORTHWEST HOSPITAL","1550 North 115th Street","","Seattle","WA","98133","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",32,"03/05/2014",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",188433716,"Covered","","","","","","","","",NA,NA,"Controls","","","","","1550 North 115th Street, Seattle, WA 98133",-122.3372047,47.7146036
"34",34,"Covered Recipient Teaching Hospital",500001,2217,"UW MEDICINE/NORTHWEST HOSPITAL","1550 North 115th Street","","Seattle","WA","98133","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",40,"04/23/2014",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",188434606,"Covered","","","","","","","","",NA,NA,"Controls","","","","","1550 North 115th Street, Seattle, WA 98133",-122.3372047,47.7146036
"35",35,"Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","","Seattle","WA","98195","EMD Millipore Corporation",100000005624,"EMD Millipore Corporation","MA","United States",10.3,"08/18/2014",1,"In-kind items and services","Food and Beverage","","","",NA,"No Third Party Payment","","","","","No",119190290,"Non-covered","","","","","","","","",NA,NA,"","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"36",36,"Covered Recipient Teaching Hospital",500088,2227,"VALLEY MEDICAL CENTER","400 S 43RD ST","","RENTON","WA","98055","Eli Lilly and Company",100000000066,"LILLY USA, LLC","IN","United States",362,"02/14/2014",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","No","","","No",137924736,"Covered","ALIMTA","","","","","0002762301","","",NA,NA,"","","","","","400 S 43RD ST, RENTON, WA 98055",-122.2143069,47.4424335
"37",37,"Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE PACIFIC ST","","SEATTLE","WA","98195","Amgen Inc.",100000000203,"Amgen Inc.","CA","United States",400,"12/12/2014",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","No","","","No",137987264,"Covered","Prolia","","","","","5551371001","","",NA,NA,"","","","","","1959 NE PACIFIC ST, SEATTLE, WA 98195",-122.3091341,47.6506935
"38",38,"Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","1959 NE Pacific St","","Seattle","WA","98195","EMD Millipore Corporation",100000005624,"EMD Millipore Corporation","MA","United States",250,"07/07/2014",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","No","","","No",119188354,"Non-covered","","","","","","","","",NA,NA,"","","","","","1959 NE Pacific St, Seattle, WA 98195",-122.3091341,47.6506935
"39",39,"Covered Recipient Teaching Hospital",500005,2214,"VIRGINIA MASON MEDICAL CENTER","925 Seneca St","","Seattle","WA","98101","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",750,"05/21/2014",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",188435538,"Covered","","","","","","","","",NA,NA,"Controls","","","","","925 Seneca St, Seattle, WA 98101",-122.327633,47.6100079
"40",40,"Covered Recipient Teaching Hospital",500050,2229,"SOUTHWEST WASHINGTON MEDICAL CENTER","200 NE Mother Joseph Pl Ste 400","400","Vancouver","WA","98664","CareFusion Corporation",100000005545,"CareFusion Corporation","CA","United States",0.5,"12/31/2014",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","","","","No",221072938,"Covered","","","","","","","","",NA,NA,"Medical Systems","","","","","200 NE Mother Joseph Pl Ste 400, Vancouver, WA 98664",-122.5800895,45.6241511
"41",41,"Covered Recipient Teaching Hospital",500008,2228,"UNIVERSITY OF WASHINGTON MED CTR","2","","SEATTLE","WA","98195","Roche Diagnostics Corporation",100000005419,"Roche Diagnostics Corporation","IN","United States",1672.06,"07/31/2014",1,"In-kind items and services","Education","","","",NA,"No Third Party Payment","","No","","","No",164122916,"Covered","","","","","","","","",NA,NA,"MD Virology","","","","","2, SEATTLE, WA 98195",-121.3605331,47.7116801
"42",42,"Covered Recipient Teaching Hospital",500044,1467,"DEACONESS MEDICAL CENTER","1550 N 115th St","","Seattle","WA","98133","Covidien Sales LLC",100000000098,"Covidien Sales LLC","MA","United States",750,"12/09/2014",1,"Cash or cash equivalent","Gift","","","",NA,"No Third Party Payment","","","","Products Given","No",212107230,"Covered","","","","","","","","",NA,NA,"Sensors - Advanced Parameters","","","","","1550 N 115th St, Seattle, WA 98133",-122.3372047,47.7146036
"43",43,"Covered Recipient Teaching Hospital",500064,2221,"HARBORVIEW MEDICAL CENTER","325 9th Ave","","Seattle","WA","98104","KCI USA, Inc",100000010396,"KCI USA, Inc","TX","United States",1500,"09/03/2014",1,"Cash or cash equivalent","Education","","","",NA,"No Third Party Payment","","","","","No",198891036,"Covered","","","","","","","","",NA,NA,"VAC THERAPY UNITS","","","","","325 9th Ave, Seattle, WA 98104",-122.3241757,47.6038212
"44",44,"Covered Recipient Teaching Hospital",500001,2217,"UW MEDICINE/NORTHWEST HOSPITAL","1550 North 115th Street","","Seattle","WA","98133","Bio-Rad Laboratories, Inc.",100000005577,"Bio-Rad Laboratories, Inc.","CA","United States",744,"06/11/2014",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","","","","No",188435838,"Covered","","","","","","","","",NA,NA,"Controls","","","","","1550 North 115th Street, Seattle, WA 98133",-122.3372047,47.7146036
"45",45,"Covered Recipient Teaching Hospital",500079,2219,"GOOD SAMARITAN HOSPITAL","407TH 14TH AVENUE SE","","PUYALLUP","WA","98371","Siemens Medical Solutions USA, Inc.",100000010755,"Siemens Medical Solutions USA, Inc.","PA","United States",1500,"07/22/2014",1,"Cash or cash equivalent","Compensation for services other than consulting, including serving as faculty or as a speaker at a venue other than a continuing education program","","","",NA,"No Third Party Payment","","No","","","No",235006448,"Combination","","","","","","","","",NA,NA,"CT and RO  incl. Computed Tomography and Radiation Oncology","","","","","407TH 14TH AVENUE SE, PUYALLUP, WA 98371",-122.323194,47.2041
"46",46,"Covered Recipient Teaching Hospital",500064,2221,"Harborview Medical Center","325 Ninth Ave","","Seattle","WA","98104","Mazor Robotics Inc.",100000005396,"Mazor Robotics Inc.","FL","United States",3793,"12/31/2014",1,"Cash or cash equivalent","Space rental or facility fees(teaching hospital only)","","","",NA,"No Third Party Payment","","","","","No",215508670,"Non-covered","","","","","","","","",NA,NA,"","","","","","325 Ninth Ave, Seattle, WA 98104",-122.3241757,47.6038212
"47",47,"Covered Recipient Teaching Hospital",500088,2227,"VALLEY MEDICAL CENTER","400 S 43rd St","","RENTON","WA","98058","HOLOGIC INC",100000010400,"HOLOGIC INC","MA","United States",153.62,"01/09/2014",1,"Cash or cash equivalent","Travel and Lodging","San Diego","CA","United States",NA,"No Third Party Payment","","","","","No",181530282,"Covered","","","","","","","","",NA,NA,"Panther","","","","","400 S 43rd St, RENTON, WA 98058",-122.2143069,47.4424335
"48",48,"Covered Recipient Teaching Hospital",500050,2229,"SOUTHWEST WASHINGTON MEDICAL CENTER","200 NE Mother Joseph Pl Ste 400","400","Vancouver","WA","98664","CareFusion Corporation",100000005545,"CareFusion Corporation","CA","United States",850.91,"03/24/2014",1,"In-kind items and services","Gift","","","",NA,"No Third Party Payment","","","","","No",221072424,"Covered","","","","","","","","",NA,NA,"Procedural Solutions","","","","","200 NE Mother Joseph Pl Ste 400, Vancouver, WA 98664",-122.5800895,45.6241511
